numano,nummes,datemissao,txnomeparlamentar,sgpartido,sguf,txtdescricao,txtcnpjcpf,txtfornecedor,vlrdocumento,vlrglosa,vlrliquido
2018,8,,ALESSANDRO MOLON,PSB,RJ,TELEFONIA,,RAMAL,67.55,0.00,67.55
2018,8,,ALEXANDRE SERFIOTIS,PSD,RJ,TELEFONIA,,RAMAL,198.99,0.00,198.99
2018,8,,ALEXANDRE VALLE,PR,RJ,TELEFONIA,,RAMAL,61.16,0.00,61.16
2018,8,,ALTINEU CÔRTES,PR,RJ,TELEFONIA,,RAMAL,107.01,0.00,107.01
2018,8,,AROLDE DE OLIVEIRA,PSD,RJ,TELEFONIA,,RAMAL,90.87,0.00,90.87
2018,8,,AUREO,SD,RJ,TELEFONIA,,RAMAL,257.56,0.00,257.56
2018,8,,BENEDITA DA SILVA,PT,RJ,TELEFONIA,,RAMAL,39.11,0.00,39.11
2018,8,,CABO DACIOLO,PATRI,RJ,TELEFONIA,,RAMAL,108.97,0.00,108.97
2018,8,,CELSO JACOB,MDB,RJ,TELEFONIA,,RAMAL,56.35,0.00,56.35
2018,8,,CELSO PANSERA,PT,RJ,TELEFONIA,,RAMAL,170.40,0.00,170.40
2018,8,,CHICO ALENCAR,PSOL,RJ,TELEFONIA,,RAMAL,65.75,0.00,65.75
2018,8,,CHICO D'ANGELO,PDT,RJ,TELEFONIA,,RAMAL,46.27,0.00,46.27
2018,8,,CLARISSA GAROTINHO,PROS,RJ,TELEFONIA,,RAMAL,37.55,0.00,37.55
2018,8,,CRISTIANE BRASIL,PTB,RJ,TELEFONIA,,RAMAL,47.07,0.00,47.07
2018,8,,DELEY,PTB,RJ,TELEFONIA,,RAMAL,110.72,0.00,110.72
2018,8,,EZEQUIEL TEIXEIRA,PODE,RJ,TELEFONIA,,RAMAL,58.90,0.00,58.90
2018,8,,FELIPE BORNIER,PROS,RJ,TELEFONIA,,RAMAL,316.21,0.00,316.21
2018,8,,FRANCISCO FLORIANO,DEM,RJ,TELEFONIA,,RAMAL,317.79,0.00,317.79
